dataset_id,dno_alias,aggregated_device_count_active,total_consumption_active_import,data_collection_log_timestamp,geometry,secondary_substation_unique_id,lv_feeder_unique_id
281800912003,SSEN,32.0,10519.0,2024-12-01 00:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,7354.0,2024-12-01 00:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,9791.0,2024-12-01 00:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
281800912003,SSEN,32.0,9856.0,2024-12-01 01:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,7834.0,2024-12-01 01:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,7531.0,2024-12-01 01:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
281800912003,SSEN,32.0,9826.0,2024-12-01 01:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,8038.0,2024-12-01 01:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,6655.0,2024-12-01 01:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
281800912003,SSEN,32.0,9848.0,2024-12-01 02:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,6479.0,2024-12-01 02:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,5997.0,2024-12-01 02:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
281800912003,SSEN,32.0,7293.0,2024-12-01 02:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,5565.0,2024-12-01 02:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,5790.0,2024-12-01 02:30:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
281800912003,SSEN,32.0,5640.0,2024-12-01 03:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912003
281800912004,SSEN,49.0,6709.0,2024-12-01 03:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912004
281800912005,SSEN,62.0,5823.0,2024-12-01 03:00:00+00:00,"{'x': -0.361796, 'y': 51.462729}",SSEN-2818009120,SSEN-281800912005
