dataset_id,dno_alias,aggregated_device_count_active,total_consumption_active_import,data_collection_log_timestamp,geometry,secondary_substation_unique_id,lv_feeder_unique_id
281601003001,SSEN,19.0,1980.0,2024-12-01 00:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,6643.0,2024-12-01 00:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5289.0,2024-12-01 00:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,19898.0,2024-12-01 00:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1686.0,2024-12-01 01:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,5793.0,2024-12-01 01:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5171.0,2024-12-01 01:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,24384.0,2024-12-01 01:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1934.0,2024-12-01 01:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4844.0,2024-12-01 01:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5418.0,2024-12-01 01:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,21015.0,2024-12-01 01:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,2249.0,2024-12-01 02:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,5018.0,2024-12-01 02:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5238.0,2024-12-01 02:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,16826.0,2024-12-01 02:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1458.0,2024-12-01 02:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4038.0,2024-12-01 02:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5517.0,2024-12-01 02:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,12547.0,2024-12-01 02:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1798.0,2024-12-01 03:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,3493.0,2024-12-01 03:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,4981.0,2024-12-01 03:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,10735.0,2024-12-01 03:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1265.0,2024-12-01 03:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,3768.0,2024-12-01 03:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5318.0,2024-12-01 03:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,8395.0,2024-12-01 03:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1180.0,2024-12-01 04:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,3963.0,2024-12-01 04:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5028.0,2024-12-01 04:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,8256.0,2024-12-01 04:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1278.0,2024-12-01 04:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,3860.0,2024-12-01 04:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,5012.0,2024-12-01 04:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,9943.0,2024-12-01 04:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1289.0,2024-12-01 05:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4176.0,2024-12-01 05:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,2346.0,2024-12-01 05:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,8566.0,2024-12-01 05:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1466.0,2024-12-01 05:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,3696.0,2024-12-01 05:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,1008.0,2024-12-01 05:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,8412.0,2024-12-01 05:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1334.0,2024-12-01 06:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4269.0,2024-12-01 06:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,1023.0,2024-12-01 06:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,7263.0,2024-12-01 06:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1981.0,2024-12-01 06:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4345.0,2024-12-01 06:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,1151.0,2024-12-01 06:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,7029.0,2024-12-01 06:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1814.0,2024-12-01 07:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
281601003002,SSEN,31.0,4127.0,2024-12-01 07:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003002
281601003003,SSEN,14.0,1345.0,2024-12-01 07:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003003
281601003004,SSEN,38.0,6220.0,2024-12-01 07:00:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003004
281601003001,SSEN,19.0,1792.0,2024-12-01 07:30:00+00:00,"{'x': -0.426857, 'y': 51.454574}",SSEN-2816010030,SSEN-281601003001
