dataset_id,dno_alias,aggregated_device_count_active,total_consumption_active_import,data_collection_log_timestamp,geometry,secondary_substation_unique_id,lv_feeder_unique_id
280300842001,SSEN,34.0,3533.0,2024-12-01 00:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1622.0,2024-12-01 00:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,3321.0,2024-12-01 01:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1855.0,2024-12-01 01:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,2960.0,2024-12-01 01:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1792.0,2024-12-01 01:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,2945.0,2024-12-01 02:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1628.0,2024-12-01 02:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,4587.0,2024-12-01 02:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1158.0,2024-12-01 02:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,5412.0,2024-12-01 03:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1141.0,2024-12-01 03:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,3028.0,2024-12-01 03:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1129.0,2024-12-01 03:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,3124.0,2024-12-01 04:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
280300842003,SSEN,18.0,1328.0,2024-12-01 04:00:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842003
280300842001,SSEN,34.0,2785.0,2024-12-01 04:30:00+00:00,"{'x': -0.415597, 'y': 51.42768}",SSEN-2803008420,SSEN-280300842001
