secondary_substation_unique_id,latitude,longitude
SSEN-2508023070,51.476499,-0.328815
SSEN-2508023070,51.476499,-0.328815
SSEN-2508023070,51.476499,-0.328815
SSEN-2508023080,51.477293,-0.332833
SSEN-2508023080,51.477293,-0.332833
SSEN-2508023080,51.477293,-0.332833
SSEN-2508023080,51.477293,-0.332833
SSEN-2508023085,51.476014,-0.333674
SSEN-2508023085,51.476014,-0.333674
SSEN-2508023085,51.476014,-0.333674
SSEN-2508023085,51.476014,-0.333674
SSEN-2511002010,51.492264,-0.274661
SSEN-2511002053,51.49322,-0.27012
SSEN-2511002053,51.49322,-0.27012
SSEN-2511002055,51.493143,-0.270912
SSEN-2511002055,51.493143,-0.270912
SSEN-2511002055,51.493143,-0.270912
SSEN-2511002055,51.493143,-0.270912
SSEN-2511002080,51.492214,-0.272665
SSEN-2511002080,51.492214,-0.272665
SSEN-2511004020,51.488558,-0.272962
SSEN-2511004020,51.488558,-0.272962
SSEN-2511004020,51.488558,-0.272962
SSEN-2511004020,51.488558,-0.272962
SSEN-2511005020,51.487108,-0.266074
SSEN-2511005020,51.487108,-0.266074
SSEN-2511005020,51.487108,-0.266074
SSEN-2511005040,51.485069,-0.264437
SSEN-2511005120,51.481775,-0.254567
SSEN-2511005120,51.481775,-0.254567
SSEN-2511005120,51.481775,-0.254567
SSEN-2511005120,51.481775,-0.254567
SSEN-2511005140,51.480719,-0.25972
SSEN-2511005140,51.480719,-0.25972
SSEN-2511005200,51.47713,-0.259036
SSEN-2511005200,51.47713,-0.259036
SSEN-2511006020,51.487531,-0.272813
SSEN-2511006020,51.487531,-0.272813
SSEN-2511006020,51.487531,-0.272813
SSEN-2511006040,51.486462,-0.274741
SSEN-2511006040,51.486462,-0.274741
SSEN-2511006040,51.486462,-0.274741
SSEN-2511006060,51.485231,-0.271748
SSEN-2511006060,51.485231,-0.271748
SSEN-2511006060,51.485231,-0.271748
SSEN-2511006060,51.485231,-0.271748
SSEN-2511006080,51.484023,-0.274631
SSEN-2511006080,51.484023,-0.274631
SSEN-2511006080,51.484023,-0.274631
SSEN-2511006080,51.484023,-0.274631
SSEN-2511006080,51.484023,-0.274631
SSEN-2511006085,51.481369,-0.269633
SSEN-2511006085,51.481369,-0.269633
SSEN-2511006085,51.481369,-0.269633
SSEN-2511006085,51.481369,-0.269633
SSEN-2511006085,51.481369,-0.269633
SSEN-2511006090,51.480295,-0.267542
SSEN-2511006090,51.480295,-0.267542
SSEN-2511006120,51.482127,-0.264304
SSEN-2511006120,51.482127,-0.264304
SSEN-2511006120,51.482127,-0.264304
SSEN-2511006140,51.479196,-0.271702
SSEN-2511006160,51.477762,-0.272045
SSEN-2511006200,51.476991,-0.27036
SSEN-2511006210,51.47616,-0.269811
SSEN-2511009060,51.493334,-0.259614
SSEN-2511009060,51.493334,-0.259614
SSEN-2511009080,51.494323,-0.26387
SSEN-2511009120,51.492942,-0.265939
SSEN-2511009130,51.492786,-0.261465
SSEN-2511009180,51.49309,-0.257146
SSEN-2511009190,51.491964,-0.257578
SSEN-2511009190,51.491964,-0.257578
SSEN-2511009200,51.49125,-0.254321
SSEN-2511009200,51.49125,-0.254321
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010020,51.489423,-0.266994
SSEN-2511010040,51.490056,-0.267777
SSEN-2511010040,51.490056,-0.267777
SSEN-2511010040,51.490056,-0.267777
SSEN-2511010060,51.488954,-0.260213
SSEN-2511010060,51.488954,-0.260213
SSEN-2511010060,51.488954,-0.260213
SSEN-2511010080,51.491025,-0.262799
SSEN-2511010080,51.491025,-0.262799
SSEN-2511010190,51.491988,-0.261049
SSEN-2511010190,51.491988,-0.261049
