substation_id,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22,raw_23,raw_24,raw_25,raw_26,raw_27,raw_28,raw_29,raw_30,raw_31,raw_32,raw_33,raw_34,raw_35,raw_36,raw_37,raw_38,raw_39,raw_40,raw_41,raw_42,raw_43,raw_44,raw_45,raw_46,raw_47,normalized_0,normalized_1,normalized_2,normalized_3,normalized_4,normalized_5,normalized_6,normalized_7,normalized_8,normalized_9,normalized_10,normalized_11,normalized_12,normalized_13,normalized_14,normalized_15,normalized_16,normalized_17,normalized_18,normalized_19,normalized_20,normalized_21,normalized_22,normalized_23,normalized_24,normalized_25,normalized_26,normalized_27,normalized_28,normalized_29,normalized_30,normalized_31,normalized_32,normalized_33,normalized_34,normalized_35,normalized_36,normalized_37,normalized_38,normalized_39,normalized_40,normalized_41,normalized_42,normalized_43,normalized_44,normalized_45,normalized_46,normalized_47
SSEN-2811013080,11656.806451612903,8395.290322580646,5431.322580645161,12720.935483870968,8011.967741935484,6628.4838709677415,11325.806451612903,8812.90322580645,6991.258064516129,11856.225806451614,8937.612903225807,5065.129032258064,10805.032258064517,7223.129032258064,5826.096774193548,9264.290322580646,7016.8387096774195,6839.419354838709,10263.58064516129,7780.1612903225805,4329.903225806452,10073.0,6393.419354838709,5527.096774193548,9417.709677419354,6749.645161290323,5559.0,9026.548387096775,6254.903225806452,4159.419354838709,8649.0,5987.677419354839,5069.419354838709,7424.193548387097,6873.064516129032,5573.903225806452,8840.483870967742,7342.709677419355,4057.1935483870966,10158.387096774193,6853.258064516129,5649.5161290322585,10757.935483870968,7489.419354838709,6958.967741935484,14357.516129032258,8284.612903225807,5823.741935483871,0.03133951136788093,0.022425799745229662,0.014471132772922689,0.03379184912955199,0.02147333231885933,0.017845070667517216,0.03001904535702614,0.023429358866291487,0.018940615050105424,0.031691768798016634,0.024041458470241483,0.013134267005355475,0.028913907542311185,0.01940804415059177,0.015143603705735859,0.024517637104551043,0.018840651597811325,0.018178192667303524,0.027444408926939928,0.020658029487588835,0.011518572037330387,0.02698968314252049,0.016872545175515948,0.014654393353782625,0.024845116977071494,0.01770462827672122,0.015228598489328659,0.02392869921956953,0.01648390527373123,0.011380777716735053,0.02343032884240196,0.015865327372656304,0.013279591881807402,0.0199393038950427,0.018398589971700522,0.01466280414288777,0.023657125859224786,0.01952853776170185,0.010841473972120758,0.027070870369396816,0.018332741450128986,0.01534964110380581,0.028792945616740354,0.019982028532800768,0.018887030299312962,0.039198685449875766,0.022348490929725216,0.015119878154530714
SSEN-2808001295,4432.793103448276,7854.482758620689,5411.068965517241,6887.172413793103,5446.241379310345,7716.689655172414,9141.0,7360.103448275862,8525.310344827587,12596.137931034482,10872.206896551725,9671.896551724138,11244.172413793103,7816.103448275862,10335.689655172413,7361.6551724137935,11820.344827586207,8212.413793103447,6583.517241379311,6088.0,8697.724137931034,7920.172413793103,6571.448275862069,5650.172413793103,7926.448275862069,6827.0344827586205,6742.620689655172,5750.620689655172,6796.793103448276,6287.551724137931,6244.137931034483,4695.137931034483,5085.0344827586205,5344.137931034483,7001.931034482759,5854.689655172414,7189.6551724137935,5590.758620689655,4240.896551724138,3761.448275862069,5940.827586206897,5227.862068965517,4421.793103448276,4585.172413793103,4754.793103448276,7377.275862068966,5894.3448275862065,4188.068965517241,0.013469060274771362,0.02432888300471783,0.016404137692633304,0.019900254090440963,0.016441696711229165,0.023169693590613317,0.026875123943894748,0.021313702242977545,0.02621477927661006,0.03760552380913715,0.03389177381194795,0.028394129483706353,0.03381544500366402,0.022852969453249723,0.03218111073436705,0.0226597567755143,0.03744248836939162,0.024352239999151676,0.0184932291585817,0.017540444131905426,0.02583028657881624,0.02429989337906568,0.02026169561701579,0.01750435338113827,0.023456146442090663,0.020021994812867618,0.02091105374601587,0.017765716309098525,0.021190634274339835,0.019047216201187888,0.01855382330716081,0.013435341647004108,0.01539039846769872,0.016075013610290033,0.02136283169650294,0.018019574102077027,0.021643548717986173,0.016464201281836597,0.01258202191092001,0.011173751873593245,0.01794858315151983,0.015555770177047514,0.013378985124808524,0.013848792977355343,0.014722016400796139,0.022699608457657335,0.017359183794875013,0.012151121000729005
SSEN-2529015060,4790.8387096774195,8535.516129032258,5015.612903225807,8243.451612903225,4784.741935483871,8050.612903225807,4490.225806451613,7861.322580645161,3999.1935483870966,8752.193548387097,4569.193548387097,7746.8387096774195,4257.5161290322585,7517.5161290322585,3819.9032258064517,7368.193548387097,3757.0967741935483,7212.064516129032,4062.516129032258,7045.225806451613,4250.258064516129,7374.5161290322585,4143.903225806452,6847.064516129032,5077.4838709677415,6571.322580645161,5062.032258064516,8010.258064516129,6162.193548387097,8863.774193548386,7059.064516129032,10000.645161290322,7080.5161290322585,10611.0,6061.1612903225805,10532.935483870968,6635.967741935484,10310.129032258064,6182.548387096775,10895.41935483871,6583.032258064516,11614.322580645161,7805.1612903225805,10963.645161290322,6186.806451612903,13118.612903225807,7864.258064516129,11017.870967741936,0.013675851210008961,0.025173089746490226,0.014371212815936939,0.023976110179371353,0.014009069957665548,0.022968772795984492,0.013000200688359194,0.022544253662640876,0.011779699360520058,0.024962275113737473,0.013114796414926223,0.022421022044567706,0.012200779051638142,0.02172701062592395,0.010913741258569344,0.021292023874352407,0.010771147021318768,0.020679685885609575,0.011870671501893373,0.020032612758599095,0.012348402683170355,0.02119425893354159,0.01203204367227319,0.019795777021912212,0.014828103284798042,0.019083451033275748,0.014690632572544441,0.023405268950552203,0.018115902641007674,0.025751887141555997,0.02052387655266178,0.029208363985232952,0.02062402470050596,0.03092242157782386,0.017522533791646457,0.03081031561527742,0.019545796043430336,0.029766026357889337,0.018038336606219604,0.03172152142487965,0.019171477961426004,0.033750933112470405,0.02249567360990937,0.0321365659240692,0.01778528216632832,0.03832254810607257,0.023014374784762943,0.031910173776648704
SSEN-2526010010,14472.870967741936,4926.677419354839,13517.935483870968,13199.806451612903,4785.612903225807,14326.41935483871,10437.516129032258,4881.645161290323,11923.90322580645,11445.354838709678,3173.451612903226,10167.774193548386,9010.129032258064,3788.9032258064517,10760.612903225807,7753.677419354839,4161.451612903225,10020.064516129032,9876.0,2838.032258064516,8367.935483870968,7478.4838709677415,3961.3548387096776,9047.322580645161,7964.741935483871,3155.935483870968,8751.516129032258,9320.774193548386,2520.7096774193546,7863.096774193548,7403.322580645161,4027.8064516129034,8873.161290322581,8506.451612903225,3180.3225806451615,9552.161290322581,10085.935483870968,3382.2580645161293,9621.225806451614,9581.774193548386,3826.9032258064517,11332.483870967742,11339.129032258064,4833.193548387097,13894.935483870968,14342.774193548386,4815.709677419355,14280.290322580646,0.03628404074068133,0.012926839259341169,0.03440613935312516,0.03274200113438777,0.01259898615259114,0.036487107165523114,0.026003444433246824,0.012795748224193883,0.029990264492142076,0.028417590415480195,0.008153688025846557,0.025845744430898,0.022862549240787226,0.009274066230756918,0.027196476939854195,0.020089096535921964,0.010102003468671622,0.025159316960284093,0.024690723499655298,0.007130417939360654,0.021191998517606406,0.018900227990330667,0.009824086084727719,0.022831163483802885,0.020166285177586566,0.00786023592725935,0.021987666232259756,0.023253378363379627,0.0063369644267475414,0.020023682555355804,0.018928169165867374,0.009872660182099419,0.022284221548993625,0.021618677190631458,0.0077605307871660405,0.024052362436107186,0.025101103548007903,0.0088857710006693,0.024004561443649954,0.02404631512189043,0.00988084769768049,0.02824800340943082,0.027936356420099697,0.012784252628096057,0.034937501303544255,0.035997502815500904,0.011989058268223307,0.03614017163053626
SSEN-2803004060,6936.0,5556.5161290322585,5428.258064516129,6551.032258064516,8376.387096774193,5643.677419354839,5876.806451612903,7330.903225806452,9381.161290322581,5510.1612903225805,5297.548387096775,9154.935483870968,8653.967741935483,6644.774193548387,5065.612903225807,10389.967741935483,8345.806451612903,6347.419354838709,4791.1612903225805,10112.0,6910.4838709677415,4936.419354838709,4880.032258064516,7405.903225806452,5902.806451612903,4927.612903225807,4474.290322580645,6471.806451612903,5667.225806451613,4277.0,4442.645161290323,5468.419354838709,5147.419354838709,4448.322580645161,4092.0,5467.903225806452,5386.0,4563.096774193548,4345.419354838709,4786.741935483871,5460.5161290322585,3840.967741935484,4421.709677419355,5624.4838709677415,6037.387096774193,4763.451612903225,4607.225806451613,5461.096774193548,0.02435415658354443,0.01916832333211356,0.01922569680058904,0.023127391357833437,0.02942108801835052,0.019798910613598834,0.020323454164406576,0.025908536798015434,0.03311089423888107,0.0195365245547064,0.018611002047840327,0.03189340356329856,0.0301965428426968,0.023514352938535887,0.017749634043053533,0.03636151393219586,0.02918796520327219,0.022053491769538597,0.016765473111040815,0.03567200464864201,0.02397027330091005,0.01718948682193908,0.017153969001988033,0.02596635156453891,0.020817254834855276,0.017090752069636332,0.015725500467808847,0.02254246522085848,0.019675306566962668,0.014974478052848421,0.015501594424127465,0.019283667673946563,0.018012756262070665,0.015572786249980658,0.014167814829630105,0.019094626738609875,0.01889247975271404,0.015840472588019433,0.01509533384719236,0.01679603784174062,0.01908515397558099,0.013522686159197096,0.015439243223396109,0.019564950028169912,0.021207521084882643,0.016659579377380343,0.01601534949297004,0.019161747985891084
SSEN-2822028010,11636.032258064517,8788.548387096775,8411.290322580646,8738.741935483871,11757.58064516129,9755.290322580646,8882.838709677419,8360.677419354839,10966.129032258064,7649.387096774193,8215.870967741936,8549.0,10931.09677419355,8515.838709677419,7310.1612903225805,9703.193548387097,10523.064516129032,8859.516129032258,8210.806451612903,8296.838709677419,10269.322580645161,7950.1612903225805,8520.451612903225,7353.709677419355,10080.41935483871,7749.419354838709,8071.903225806452,7863.645161290323,9797.90322580645,7716.290322580645,8625.838709677419,7189.290322580645,10365.806451612903,7726.5161290322585,8160.645161290323,7968.451612903225,8333.451612903225,8000.903225806452,9131.451612903225,7608.451612903225,10269.516129032258,7525.774193548387,6390.322580645161,7443.548387096775,9301.322580645161,7765.032258064516,6974.5161290322585,7222.064516129032,0.028564530613552776,0.02122482104283426,0.020300670167702827,0.021147654837561876,0.028558350558158228,0.02378416879195622,0.021194561172053525,0.01986422831527729,0.025961152457131324,0.018683397908303243,0.020125776362187032,0.020274132725146752,0.026281312197628883,0.020483846665136446,0.017697271863424832,0.023257156051536873,0.025753932834748274,0.021216372781414198,0.019441659724348834,0.019905356105940863,0.024746867743364355,0.018908002555626215,0.02058242505388856,0.01777086595186467,0.024275569163320476,0.01863961364572616,0.019410610409080754,0.018791970235329834,0.02373401116217088,0.01857574189315783,0.020627964260336865,0.017196034119770307,0.024730726316859585,0.01850288139267527,0.01958505346408025,0.019314376665383468,0.020237699924784608,0.019289064179821132,0.021660959686255758,0.01829956999424596,0.024417966939185222,0.018387069152754162,0.015546442298712963,0.01771290898001997,0.022244381091767847,0.018466016415561868,0.016958373457026187,0.01766648067118433
SSEN-2512014200,6518.612903225807,6253.580645161291,6517.354838709677,5951.451612903225,5995.290322580645,5408.967741935484,5717.032258064516,4899.612903225807,5689.290322580645,4388.5161290322585,5446.645161290323,4318.645161290323,5349.451612903225,4098.580645161291,4567.580645161291,4208.548387096775,4081.935483870968,4335.548387096775,4481.677419354839,3990.7741935483873,4305.387096774193,4111.193548387097,4336.806451612903,4160.935483870968,4194.8387096774195,4332.967741935484,4487.096774193548,4888.5161290322585,5050.193548387097,5400.290322580645,5890.774193548387,6220.580645161291,6068.193548387097,6501.903225806452,6209.129032258064,6951.677419354839,6942.645161290323,7230.903225806452,7000.354838709677,7790.5161290322585,6950.258064516129,7917.258064516129,7420.1612903225805,7540.5161290322585,7268.677419354839,7622.612903225807,7846.935483870968,7597.419354838709,0.02378909268806321,0.023030925158221794,0.023494487795739233,0.021825951989257412,0.021732534847431196,0.01935991750269233,0.02038070038433123,0.017652651767592967,0.02011928588018254,0.016066234650926284,0.019256027907645672,0.015759661862848905,0.018948065164510367,0.01497944025719445,0.016318438234460317,0.015382019956709667,0.014844647772152804,0.015637467870257913,0.01604568231271584,0.014581280601434484,0.015381206558662807,0.015015078867945446,0.015468293603150331,0.015361544700217363,0.015182446073111654,0.01586867630928783,0.01641661418478532,0.01785285745173507,0.018441474951809395,0.019719916977997583,0.021334655242479336,0.0227664431736543,0.02201797007490866,0.02397208504621099,0.022734372392743663,0.02566904812081743,0.025528501498099355,0.026522999888351103,0.025606807670861025,0.028743222379608913,0.02549848404437589,0.029122860789953322,0.027419162806145515,0.027513288081966413,0.026588407687992748,0.028233410042199876,0.028720798947505174,0.028094857829054888
