Feeder,Model,Metric,Value
SSEN-280960801501,ARIMA,MSE,34710473.89651119
SSEN-251200807001,ARIMA,MSE,26753680.774166267
SSEN-281600902001,ARIMA,MSE,12458770.664153252
SSEN-251200703504,ARIMA,MSE,21283580.41379526
SSEN-281800214004,ARIMA,MSE,11010746.238235524
SSEN-281800214002,ARIMA,MSE,11830443.432734162
SSEN-281800214001,ARIMA,MSE,17146822.402423885
SSEN-282202201001,ARIMA,MSE,17929489.409757037
SSEN-280700612003,ARIMA,MSE,41438902.385988005
SSEN-282202606003,ARIMA,MSE,15823073.531390693
SSEN-281800306003,ARIMA,MSE,13785934.914088544
SSEN-280700215001,ARIMA,MSE,65325549.006772906
SSEN-280700215003,ARIMA,MSE,16350292.521332089
SSEN-251200309004,ARIMA,MSE,17019155.37424649
SSEN-281601108004,ARIMA,MSE,14916088.940802945
SSEN-282200504004,ARIMA,MSE,16864833.935299907
SSEN-280460416005,ARIMA,MSE,35383966.27500024
SSEN-281101318002,ARIMA,MSE,11005706.742233532
SSEN-252800136002,ARIMA,MSE,12047007.04567729
SSEN-282200928005,ARIMA,MSE,61059336.59015192
SSEN-281200232002,ARIMA,MSE,23095053.463067498
SSEN-281800405001,ARIMA,MSE,17027791.369403437
SSEN-250802301001,ARIMA,MSE,15245412.612010924
SSEN-281800106001,ARIMA,MSE,5.014031162184905e+18
SSEN-281800605502,ARIMA,MSE,16462646.593977816
SSEN-281800413001,ARIMA,MSE,11033491.128428424
SSEN-280302216002,ARIMA,MSE,57940037876.62117
SSEN-282201046002,ARIMA,MSE,15118218.429196652
SSEN-282200544002,ARIMA,MSE,18296580.934260324
SSEN-252600904001,ARIMA,MSE,52204318989420.17
SSEN-251200810001,ARIMA,MSE,60513929.27318719
SSEN-251200406004,ARIMA,MSE,17685154.600449882
SSEN-280700326002,ARIMA,MSE,11761014.483414903
SSEN-280700326001,ARIMA,MSE,12409421.312755696
SSEN-281800409004,ARIMA,MSE,54099592.912156075
SSEN-280300620001,ARIMA,MSE,19780109.132333502
SSEN-252900234002,ARIMA,MSE,12960609.183265135
SSEN-282000452002,ARIMA,MSE,28837381.32240266
SSEN-251200312002,ARIMA,MSE,39918754.20282213
SSEN-251200312001,ARIMA,MSE,13510824.140509462
SSEN-282000444004,ARIMA,MSE,13940463.482791074
SSEN-250101712503,ARIMA,MSE,14432026.77781073
SSEN-280300708003,ARIMA,MSE,14720785.691223346
SSEN-280300708001,ARIMA,MSE,21018111.22275608
SSEN-251101002005,ARIMA,MSE,14684093.65757
SSEN-281200212003,ARIMA,MSE,14231653.92210256
SSEN-281800130001,ARIMA,MSE,28712945.535402063
SSEN-280460406001,ARIMA,MSE,24845486.51771099
SSEN-280700301001,ARIMA,MSE,31164280.349914268
SSEN-280700614003,ARIMA,MSE,55172588.05487112
SSEN-252900229004,ARIMA,MSE,12296430.688447414
SSEN-282202616002,ARIMA,MSE,12138765.804272452
SSEN-280301604902,ARIMA,MSE,36340000.08842928
SSEN-281800910004,ARIMA,MSE,24916454.40545236
SSEN-280800811002,ARIMA,MSE,13495726.04326556
SSEN-252901510002,ARIMA,MSE,14761682.38285284
SSEN-281600508001,ARIMA,MSE,20708034.138274916
SSEN-281101308001,ARIMA,MSE,13590764.171518892
SSEN-280800129502,ARIMA,MSE,16930309.545953777
SSEN-252601001004,ARIMA,MSE,32751329.606211197
SSEN-252601001002,ARIMA,MSE,13427734.414854681
SSEN-251200709502,ARIMA,MSE,12846251.322121838
SSEN-280300514001,ARIMA,MSE,11950237.777108608
SSEN-282201132002,ARIMA,MSE,12295382.386422537
SSEN-281300120003,ARIMA,MSE,11512076.928851802
SSEN-281601114001,ARIMA,MSE,12610195.546838025
SSEN-282200918001,ARIMA,MSE,13263260.608947199
SSEN-250101703502,ARIMA,MSE,70474293.87010512
SSEN-250101703503,ARIMA,MSE,28536720.225376822
SSEN-281601102002,ARIMA,MSE,16667979.823257545
SSEN-282200522001,ARIMA,MSE,28322096.995862704
SSEN-280300109004,ARIMA,MSE,11072130.539099678
SSEN-282200922005,ARIMA,MSE,14749673.14327857
SSEN-282200922008,ARIMA,MSE,11301880.167224443
SSEN-251100402005,ARIMA,MSE,22998511.9796471
SSEN-251100402001,ARIMA,MSE,10984865.471500425
SSEN-251100906004,ARIMA,MSE,27809861.830780465
SSEN-281101606001,ARIMA,MSE,12309743.740748513
SSEN-251100205501,ARIMA,MSE,13279715.95591985
SSEN-251100205504,ARIMA,MSE,48293089.503663644
SSEN-280300108003,ARIMA,MSE,22085750.279187106
SSEN-252801203001,ARIMA,MSE,13237065.118600748
SSEN-281800618003,ARIMA,MSE,17897028.183956888
SSEN-281200214003,ARIMA,MSE,13004375.033195093
SSEN-280300703502,ARIMA,MSE,19640316.333081912
SSEN-281800907002,ARIMA,MSE,13823661.786756417
SSEN-280700402004,ARIMA,MSE,39131550.757531516
SSEN-281800116001,ARIMA,MSE,15409016.96288
SSEN-281200234001,ARIMA,MSE,13418332.225035254
SSEN-281800403001,ARIMA,MSE,15064264.179866644
SSEN-281600509003,ARIMA,MSE,28673122.849741865
SSEN-280700506001,ARIMA,MSE,15052402.256888611
SSEN-280700506006,ARIMA,MSE,11382285.121718299
SSEN-282201017003,ARIMA,MSE,27754630.85660419
SSEN-252900906002,ARIMA,MSE,11781400.577219518
SSEN-280700212002,ARIMA,MSE,15166891.477331705
SSEN-281800614004,ARIMA,MSE,12941232.463506337
SSEN-282202601001,ARIMA,MSE,11810527.462009104
SSEN-280800715004,ARIMA,MSE,20322604.313832916
SSEN-251101008002,ARIMA,MSE,14949402.097808935
SSEN-281200218002,ARIMA,MSE,12788720.572492199
SSEN-282201106002,ARIMA,RMSE,4878.023809176011
SSEN-281800504002,ARIMA,RMSE,6060.14464980667
SSEN-280301604003,ARIMA,RMSE,4369.252597549707
SSEN-280961202601,ARIMA,RMSE,6575.80069784005
SSEN-280700102001,ARIMA,RMSE,5841.483965035547
SSEN-252901206003,ARIMA,RMSE,2051658823.8606281
SSEN-252100814003,ARIMA,RMSE,4521.319225727427
SSEN-280800716004,ARIMA,RMSE,4293.6277044087265
SSEN-250460816001,ARIMA,RMSE,4026.716622499689
SSEN-251200212704,ARIMA,RMSE,4946.210589875092
SSEN-282200409701,ARIMA,RMSE,6564.760161114307
SSEN-281600402001,ARIMA,RMSE,4737.111308044143
SSEN-280800127504,ARIMA,RMSE,4440.469184504905
SSEN-251100913003,ARIMA,RMSE,12138.648834919659
SSEN-282201018002,ARIMA,RMSE,6683.9826401651035
SSEN-280500604001,ARIMA,RMSE,5468.442018026711
SSEN-250101605504,ARIMA,RMSE,3970.1187849181842
SSEN-281800708002,ARIMA,RMSE,4465.551281279606
SSEN-282200825101,ARIMA,RMSE,5731.710764620772
SSEN-281600602005,ARIMA,RMSE,3611461.8532893034
SSEN-280700508002,ARIMA,RMSE,12752.73063372223
SSEN-280302208002,ARIMA,RMSE,4558.070133387429
SSEN-281800724002,ARIMA,RMSE,4017.6643713633725
SSEN-251201301002,ARIMA,RMSE,1961358.940865784
SSEN-190900628004,ARIMA,RMSE,4105.5727684904605
SSEN-250100501201,ARIMA,RMSE,5979.824889881083
SSEN-280301812001,ARIMA,RMSE,7622.154466942841
SSEN-280800202002,ARIMA,RMSE,4522.518540078989
SSEN-282202615003,ARIMA,RMSE,8804.975002497475
SSEN-282200824601,ARIMA,RMSE,9584.60957077101
SSEN-251201419002,ARIMA,RMSE,5813.357304669556
SSEN-281800102001,ARIMA,RMSE,7126.654112367937
SSEN-251201202004,ARIMA,RMSE,4546.168994887941
SSEN-252801206001,ARIMA,RMSE,4003.703983712732
SSEN-252901534003,ARIMA,RMSE,4174.191387719009
SSEN-252900237001,ARIMA,RMSE,7970.4276867692915
SSEN-282202608001,ARIMA,RMSE,9455.114476542454
SSEN-281600613002,ARIMA,RMSE,4382.36816764324
SSEN-251100919005,ARIMA,RMSE,11654.052647767998
SSEN-251200809002,ARIMA,RMSE,4130.49270575174
SSEN-281801104003,ARIMA,RMSE,4444.062683241738
SSEN-252901703003,ARIMA,RMSE,4194.214374825792
SSEN-280300603002,ARIMA,RMSE,12201.651056384972
SSEN-282202612004,ARIMA,RMSE,4036.0837219489645
SSEN-280301004002,ARIMA,RMSE,4259.900502331831
SSEN-280700610007,ARIMA,RMSE,4430.555385355112
SSEN-280300838003,ARIMA,RMSE,10923.665113453348
SSEN-282200546001,ARIMA,RMSE,10156.011135100129
SSEN-280300602004,ARIMA,RMSE,6891.238451760529
SSEN-280960710203,ARIMA,RMSE,4815.203007942829
SSEN-281200318001,ARIMA,RMSE,4176.849827694579
SSEN-250460606005,ARIMA,RMSE,7876.939711039554
SSEN-252900918001,ARIMA,RMSE,4920.547820607125
SSEN-281201006001,ARIMA,RMSE,12704.724031179285
SSEN-282000446004,ARIMA,RMSE,5169.828646947066
SSEN-252801207001,ARIMA,RMSE,4035.8765000008166
SSEN-280500510004,ARIMA,RMSE,3612014.5057245167
SSEN-281201005001,ARIMA,RMSE,5274.382438170806
SSEN-251200305005,ARIMA,RMSE,6798.440681879739
SSEN-251200305002,ARIMA,RMSE,4065.346610752418
SSEN-281200252003,ARIMA,RMSE,4425.6489795741445
SSEN-252801204001,ARIMA,RMSE,4741.506755162819
SSEN-280960801501,ARIMA,RMSE,5891.559547056381
SSEN-251200807001,ARIMA,RMSE,5172.39603802399
SSEN-251200703504,ARIMA,RMSE,4613.413098108087
SSEN-281800214001,ARIMA,RMSE,4140.872178952628
SSEN-282202201001,ARIMA,RMSE,4234.322780534927
SSEN-280700612003,ARIMA,RMSE,6437.30552218768
SSEN-282202606003,ARIMA,RMSE,3977.8227124132486
SSEN-280700215001,ARIMA,RMSE,8082.422223985388
SSEN-280700215003,ARIMA,RMSE,4043.549495348374
SSEN-251200309004,ARIMA,RMSE,4125.4279019571395
SSEN-282200504004,ARIMA,RMSE,4106.681620883205
SSEN-280460416005,ARIMA,RMSE,5948.4423402265775
SSEN-282200928005,ARIMA,RMSE,7814.047388527402
SSEN-281200232002,ARIMA,RMSE,4805.731314073592
SSEN-281800405001,ARIMA,RMSE,4126.47444792809
SSEN-281800106001,ARIMA,RMSE,2239203242.7148957
SSEN-281800605502,ARIMA,RMSE,4057.418710704851
SSEN-280302216002,ARIMA,RMSE,240707.3698012198
SSEN-282200544002,ARIMA,RMSE,4277.450284253498
SSEN-252600904001,ARIMA,RMSE,7225255.634883804
SSEN-251200810001,ARIMA,RMSE,7779.069949112631
SSEN-251200406004,ARIMA,RMSE,4205.372112007436
SSEN-281800409004,ARIMA,RMSE,7355.242546113355
SSEN-280300620001,ARIMA,RMSE,4447.48346060258
SSEN-282000452002,ARIMA,RMSE,5370.044815679164
SSEN-251200312002,ARIMA,RMSE,6318.129011251838
SSEN-280300708001,ARIMA,RMSE,4584.55136548344
SSEN-281800130001,ARIMA,RMSE,5358.446186666622
SSEN-280460406001,ARIMA,RMSE,4984.5247032902735
SSEN-280700301001,ARIMA,RMSE,5582.497680242623
SSEN-280700614003,ARIMA,RMSE,7427.825257427043
SSEN-280301604902,ARIMA,RMSE,6028.266756575166
SSEN-281800910004,ARIMA,RMSE,4991.638448991709
SSEN-281600508001,ARIMA,RMSE,4550.608106426537
SSEN-280800129502,ARIMA,RMSE,4114.645737600477
SSEN-252601001004,ARIMA,RMSE,5722.877738184802
SSEN-250101703502,ARIMA,RMSE,8394.896894548801
SSEN-250101703503,ARIMA,RMSE,5341.977183157639
SSEN-281601102002,ARIMA,RMSE,4082.6437296508675
SSEN-282200522001,ARIMA,RMSE,5321.850899439283
SSEN-251100402005,ARIMA,RMSE,4795.67638395744
SSEN-251100906004,ARIMA,RMSE,5273.505649070688
SSEN-251100205504,ARIMA,RMSE,6949.322952897184
SSEN-280300108003,ARIMA,RMSE,4699.5478802952
SSEN-281800618003,ARIMA,RMSE,4230.487936864599
SSEN-280300703502,ARIMA,RMSE,4431.73965086871
SSEN-280700402004,ARIMA,RMSE,6255.521621538169
SSEN-281600509003,ARIMA,RMSE,5354.729017395919
SSEN-282201017003,ARIMA,RMSE,5268.266399547786
SSEN-280800715004,ARIMA,RMSE,4508.059927932737
SSEN-282201106002,ARIMA,MAE,3934.5671771140956
SSEN-281800504002,ARIMA,MAE,5025.580483233682
SSEN-280301604003,ARIMA,MAE,3609.1451110104113
SSEN-280961202601,ARIMA,MAE,5745.15164135551
SSEN-280700102001,ARIMA,MAE,4619.792092981569
SSEN-252901206003,ARIMA,MAE,980062947.2783018
SSEN-252100814003,ARIMA,MAE,3770.8232625392952
SSEN-280800716004,ARIMA,MAE,3824.9460562406275
SSEN-250460816001,ARIMA,MAE,3563.717447059976
SSEN-251200212704,ARIMA,MAE,4174.161533399393
SSEN-282200409701,ARIMA,MAE,5185.5635123668935
SSEN-281600402001,ARIMA,MAE,3829.653668327885
SSEN-280800127504,ARIMA,MAE,4213.110079446386
SSEN-251100913003,ARIMA,MAE,11433.912990544966
SSEN-282201018002,ARIMA,MAE,6072.286013230612
SSEN-280500604001,ARIMA,MAE,4418.021776324107
SSEN-281800708002,ARIMA,MAE,3557.1499519941244
SSEN-252900230005,ARIMA,MAE,3304.3568784909335
SSEN-282200825101,ARIMA,MAE,5378.728804957323
SSEN-281600602005,ARIMA,MAE,3611460.9255776615
SSEN-190900632003,ARIMA,MAE,3317.278230908227
SSEN-280700508002,ARIMA,MAE,12081.269912376194
SSEN-280302208002,ARIMA,MAE,3548.584035734828
SSEN-281800724002,ARIMA,MAE,3708.6763560250783
SSEN-281800909001,ARIMA,MAE,3262.692210391296
SSEN-251201301002,ARIMA,MAE,1953938.7415208397
SSEN-190900628004,ARIMA,MAE,3788.3466850599116
SSEN-250100501201,ARIMA,MAE,4907.224146124306
SSEN-280301812001,ARIMA,MAE,7360.218966644738
SSEN-280800202002,ARIMA,MAE,3394.701635783886
SSEN-282202615003,ARIMA,MAE,7628.38362699739
SSEN-282200824601,ARIMA,MAE,8114.3127072620355
SSEN-251201419002,ARIMA,MAE,4779.416157736365
SSEN-281101608002,ARIMA,MAE,3726.6697858082375
SSEN-281800102001,ARIMA,MAE,6938.251023399966
SSEN-251201202004,ARIMA,MAE,3980.203318887067
SSEN-252801206001,ARIMA,MAE,3387.7095462288785
SSEN-252901534003,ARIMA,MAE,3928.9764275216176
SSEN-252900237001,ARIMA,MAE,6858.876727744498
SSEN-282202608001,ARIMA,MAE,8052.618086341468
SSEN-281600613002,ARIMA,MAE,3986.7564690576323
SSEN-282202805002,ARIMA,MAE,3255.734754657187
SSEN-251100919005,ARIMA,MAE,11189.960844725758
SSEN-251200809002,ARIMA,MAE,3631.0827593441777
SSEN-281801104003,ARIMA,MAE,3761.718159714679
SSEN-252901703003,ARIMA,MAE,3678.589735116852
SSEN-280300603002,ARIMA,MAE,11668.68609977756
SSEN-280301004002,ARIMA,MAE,3462.5871667090846
SSEN-280700610007,ARIMA,MAE,3831.144274160444
SSEN-280300838003,ARIMA,MAE,10207.442601225805
SSEN-282200546001,ARIMA,MAE,9126.787797927142
SSEN-280300602004,ARIMA,MAE,6388.3876945406855
SSEN-280960710203,ARIMA,MAE,3885.939331249945
SSEN-281200318001,ARIMA,MAE,3458.138328907925
SSEN-250460606005,ARIMA,MAE,7663.001127638669
SSEN-280301212005,ARIMA,MAE,3299.611057803302
SSEN-252900918001,ARIMA,MAE,3957.597012772942
