Feeder,Model,Metric,Value
SSEN-251201301002,Boosting,RMSE,595244436.8406384
SSEN-250100501201,Boosting,RMSE,6904.319404958641
SSEN-280800202002,Boosting,RMSE,6022.04300681527
SSEN-282202615003,Boosting,RMSE,133042965.02350806
SSEN-282200824601,Boosting,RMSE,5361.886527278371
SSEN-280460106002,Boosting,RMSE,6622.349292073191
SSEN-251201419002,Boosting,RMSE,1838029886.8353755
SSEN-280300628003,Boosting,RMSE,5206.146936705731
SSEN-251200813002,Boosting,RMSE,8468.601042226413
SSEN-281101316005,Boosting,RMSE,5982.391451174291
SSEN-280300208002,Boosting,RMSE,6168.403570601223
SSEN-252801206001,Boosting,RMSE,5702.154007689097
SSEN-252900237002,Boosting,RMSE,5533.6233848166075
SSEN-282202608001,Boosting,RMSE,5690.98956700328
SSEN-281601002002,Boosting,RMSE,6761.594591038548
SSEN-280301614005,Boosting,RMSE,7108.350509318138
SSEN-280301244002,Boosting,RMSE,5670.07712856213
SSEN-251100919005,Boosting,RMSE,8859.371568737914
SSEN-280700104001,Boosting,RMSE,5002.618964964769
SSEN-281801104003,Boosting,RMSE,1247774324.4631002
SSEN-282201602001,Boosting,RMSE,5823.233166918435
SSEN-282202612001,Boosting,RMSE,6228.954893253122
SSEN-280301004002,Boosting,RMSE,5929.1776198640355
SSEN-280300838003,Boosting,RMSE,5043.297417091061
SSEN-252600510002,Boosting,RMSE,4998.642203877189
SSEN-281300607003,Boosting,RMSE,5536.224642862745
SSEN-282200546001,Boosting,RMSE,5652.838755649926
SSEN-280960710203,Boosting,RMSE,7299.915009183637
SSEN-190900638005,Boosting,RMSE,2920509414.970325
SSEN-250460606005,Boosting,RMSE,9396.582605553742
SSEN-280300546001,Boosting,RMSE,7837.181677231338
SSEN-251101112005,Boosting,RMSE,3134987564.9577208
SSEN-281201006001,Boosting,RMSE,8875.692687734494
SSEN-250101710505,Boosting,RMSE,108976066.02742124
SSEN-280500510004,Boosting,RMSE,194761599.81281313
SSEN-251200804002,Boosting,RMSE,6536.616832365871
SSEN-251100612002,Boosting,RMSE,7372.649621543707
SSEN-281201005001,Boosting,RMSE,6689.42651253007
SSEN-282201026002,Boosting,RMSE,5113.551969268279
SSEN-281200252003,Boosting,RMSE,9245.303581041679
SSEN-252801204001,Boosting,RMSE,5259.375319150364
SSEN-280960801501,Boosting,RMSE,8786.157977945846
SSEN-251200807003,Boosting,RMSE,5086.500400589488
SSEN-281101322002,Boosting,RMSE,5191.805640240573
SSEN-281800701001,Boosting,RMSE,5721.144415363159
SSEN-282202606003,Boosting,RMSE,5792.948632610505
SSEN-280700215001,Boosting,RMSE,613758.5028795768
SSEN-282202610001,Boosting,RMSE,5224.837215403859
SSEN-282200504004,Boosting,RMSE,5454.924165089805
SSEN-280460416005,Boosting,RMSE,4122247155.9957466
SSEN-281101318002,Boosting,RMSE,5139.256497365858
SSEN-282202807006,Boosting,RMSE,6410.903655406219
SSEN-281800405001,Boosting,RMSE,5241.064411747594
SSEN-250802301001,Boosting,RMSE,5200.527786225911
SSEN-281800106001,Boosting,RMSE,2239204947.419474
SSEN-280302216002,Boosting,RMSE,564175.2352304644
SSEN-282201046004,Boosting,RMSE,874203574.578464
SSEN-282200544002,Boosting,RMSE,5027.510018510699
SSEN-252600904001,Boosting,RMSE,449973662.84625506
SSEN-281800409004,Boosting,RMSE,7219.023616882078
SSEN-252901720002,Boosting,RMSE,598029004.8179668
SSEN-281600104001,Boosting,RMSE,5090.0154861026285
SSEN-252901130007,Boosting,RMSE,10143.278638435098
SSEN-280700218002,Boosting,RMSE,5862.826684822374
SSEN-280300708001,Boosting,RMSE,5863.126148138199
SSEN-281800130001,Boosting,RMSE,5901.320431897422
SSEN-281800212004,Boosting,RMSE,3429066861.6739492
SSEN-281101324001,Boosting,RMSE,9208.063978514565
SSEN-250100810202,Boosting,RMSE,5743.370294828883
SSEN-250100810201,Boosting,RMSE,5588.430552036785
SSEN-282201128002,Boosting,RMSE,5676.115416358189
SSEN-282201016003,Boosting,RMSE,5785.455834382123
SSEN-282200938002,Boosting,RMSE,5138.555609907693
SSEN-252901510002,Boosting,RMSE,6117.025471226234
SSEN-252601001002,Boosting,RMSE,5603.160289646358
SSEN-280300830003,Boosting,RMSE,6261.202309471776
SSEN-250101703502,Boosting,RMSE,8930.360663704134
SSEN-281601102003,Boosting,RMSE,5068.129091613927
SSEN-280300627001,Boosting,RMSE,6586.717321512715
SSEN-281101312001,Boosting,RMSE,6948.923456540677
SSEN-282200922008,Boosting,RMSE,5291.216151934734
SSEN-251100402005,Boosting,RMSE,5164.123753979046
SSEN-251100402001,Boosting,RMSE,5475.397864870261
SSEN-281200238003,Boosting,RMSE,7075.217652401627
SSEN-280300108003,Boosting,RMSE,5121.072329170395
SSEN-252801203001,Boosting,RMSE,5043.678370225735
SSEN-280300703502,Boosting,RMSE,7490.369139549867
SSEN-281800907002,Boosting,RMSE,6078.429933387375
SSEN-280700402004,Boosting,RMSE,5516.091488280661
SSEN-281800116001,Boosting,RMSE,8632.04151609526
SSEN-281200234001,Boosting,RMSE,6193.197054744545
SSEN-281600509003,Boosting,RMSE,5254.512833457261
SSEN-280700212004,Boosting,RMSE,5293.283795597741
SSEN-280800715004,Boosting,RMSE,6593.88320067558
SSEN-281200218002,Boosting,RMSE,6561.5867910656
SSEN-280301810001,Boosting,RMSE,6995.1377427033285
SSEN-280800106002,Boosting,MAE,329934640.2095512
SSEN-282202803004,Boosting,MAE,4340.603642078015
SSEN-282201106004,Boosting,MAE,1482672149.6409557
SSEN-282201106002,Boosting,MAE,4995.98913275017
SSEN-281800504002,Boosting,MAE,1293682338.4820564
SSEN-280301604003,Boosting,MAE,4594.952183873508
SSEN-280700102001,Boosting,MAE,4920.975615117879
SSEN-252901206003,Boosting,MAE,980061396.1019107
SSEN-282200516001,Boosting,MAE,5538.764388236153
SSEN-252100814005,Boosting,MAE,4357.353294056313
SSEN-251200212704,Boosting,MAE,980892400.6169719
SSEN-251200212705,Boosting,MAE,6915.49863515634
SSEN-282200409701,Boosting,MAE,4424.2138776346055
SSEN-280500608005,Boosting,MAE,5311.190823162819
SSEN-251100913003,Boosting,MAE,8717.682490203513
SSEN-280301608002,Boosting,MAE,4959.737792611374
SSEN-252900231003,Boosting,MAE,4041.112987460893
SSEN-280500604001,Boosting,MAE,4751.052797070317
SSEN-280460408005,Boosting,MAE,4634.691905809941
SSEN-281200216001,Boosting,MAE,4491.883506213539
SSEN-282202619001,Boosting,MAE,6961.092671782334
SSEN-281600602005,Boosting,MAE,139756821.18896905
SSEN-280700508002,Boosting,MAE,5361.63429938804
SSEN-281800118001,Boosting,MAE,4099.5329793241135
SSEN-251200402001,Boosting,MAE,4196.964928072436
SSEN-280302208002,Boosting,MAE,4222.717249266583
SSEN-251201301002,Boosting,MAE,594111026.1110717
SSEN-250100501201,Boosting,MAE,5566.847805644072
SSEN-280800202002,Boosting,MAE,4622.601505059242
SSEN-282202615003,Boosting,MAE,130987096.70587865
SSEN-282200824601,Boosting,MAE,4191.722577356338
SSEN-280460106002,Boosting,MAE,5144.624063660786
SSEN-251201419002,Boosting,MAE,1793238076.817357
SSEN-280300628003,Boosting,MAE,4287.399085992892
SSEN-251200813002,Boosting,MAE,6692.806417882961
SSEN-281101316005,Boosting,MAE,4864.167666125254
SSEN-280300208002,Boosting,MAE,4978.29698041989
SSEN-252801206001,Boosting,MAE,4616.41621431559
SSEN-252900237002,Boosting,MAE,4875.784924168759
SSEN-282202608001,Boosting,MAE,4472.626154840784
SSEN-281601002002,Boosting,MAE,6514.109655879119
SSEN-280301614005,Boosting,MAE,6830.37905552877
SSEN-280301244002,Boosting,MAE,4873.973770549582
SSEN-251100919005,Boosting,MAE,6563.887684513456
SSEN-281801104003,Boosting,MAE,1216579504.1752117
SSEN-282201602001,Boosting,MAE,4785.4947877239265
SSEN-282202612001,Boosting,MAE,5178.046082064432
SSEN-280301004002,Boosting,MAE,4922.327242431089
SSEN-252600510002,Boosting,MAE,4014.6745136213526
SSEN-281300607003,Boosting,MAE,4449.198190043135
SSEN-282200546001,Boosting,MAE,4378.164483958638
SSEN-280960710203,Boosting,MAE,5931.683690529462
SSEN-190900638005,Boosting,MAE,2880258838.7031493
SSEN-250460606005,Boosting,MAE,8902.392947052209
SSEN-280300546001,Boosting,MAE,6395.332038702267
SSEN-251101112005,Boosting,MAE,3106401246.8277397
SSEN-281201006001,Boosting,MAE,6829.1501991595005
SSEN-250101710505,Boosting,MAE,53137042.02212916
SSEN-280500510004,Boosting,MAE,182462023.68936747
SSEN-251200804002,Boosting,MAE,4665.924523931941
SSEN-251100612002,Boosting,MAE,6206.3546272065
SSEN-281201005001,Boosting,MAE,5245.44179389722
SSEN-281200252003,Boosting,MAE,8454.115075956237
SSEN-252801204001,Boosting,MAE,4219.135984901208
SSEN-280960801501,Boosting,MAE,6942.58182864381
SSEN-251200807003,Boosting,MAE,4472.784933282766
SSEN-281101322002,Boosting,MAE,4582.970557157603
SSEN-281800701001,Boosting,MAE,4661.230294399061
SSEN-282202606003,Boosting,MAE,4788.8890477369305
SSEN-280700215001,Boosting,MAE,551496.6287153669
SSEN-251200309003,Boosting,MAE,4034.611298763922
SSEN-282202610001,Boosting,MAE,4025.0370107466297
SSEN-282200504004,Boosting,MAE,4431.954204605607
SSEN-280460416005,Boosting,MAE,4095734607.424449
SSEN-281101318002,Boosting,MAE,4107.217066909694
SSEN-282202807006,Boosting,MAE,5806.73758927551
SSEN-281800405001,Boosting,MAE,4281.845082904365
SSEN-250802301001,Boosting,MAE,4130.38176817262
SSEN-281800106001,Boosting,MAE,533270457.61166483
SSEN-280302216002,Boosting,MAE,546786.2272286597
SSEN-282201046004,Boosting,MAE,817309752.3635609
SSEN-252600904001,Boosting,MAE,225195404.8063864
SSEN-281800409004,Boosting,MAE,6006.963052496386
SSEN-252901720002,Boosting,MAE,570558100.5858688
SSEN-281600104001,Boosting,MAE,4089.0557559416175
SSEN-252901130007,Boosting,MAE,8146.393403597945
SSEN-251200312001,Boosting,MAE,4206.070089446746
SSEN-280700218002,Boosting,MAE,4811.872566801019
SSEN-280300708001,Boosting,MAE,4729.006707788732
SSEN-281800130001,Boosting,MAE,5026.295068452224
SSEN-281800212004,Boosting,MAE,3355390120.9512587
SSEN-281101324001,Boosting,MAE,8959.81337970718
SSEN-250100810202,Boosting,MAE,5070.481389135799
SSEN-250100810201,Boosting,MAE,4692.385074983187
SSEN-282201128002,Boosting,MAE,4744.368503046866
SSEN-282201016003,Boosting,MAE,4829.554390080469
SSEN-282200938002,Boosting,MAE,4711.832169536471
SSEN-252901510002,Boosting,MAE,4944.204663233766
SSEN-252601001002,Boosting,MAE,4597.301543249607
SSEN-280800104003,Boosting,MAE,4046.6220598041577
SSEN-280300514001,Boosting,MAE,4148.536279805219
SSEN-280300830003,Boosting,MAE,5480.757418369476
SSEN-250101703502,Boosting,MAE,6686.6556051140715
SSEN-281601102003,Boosting,MAE,4276.618250126016
SSEN-280300627001,Boosting,MAE,5598.511726387574
SSEN-281101312001,Boosting,MAE,6045.892401694003
SSEN-282200922008,Boosting,MAE,4351.820411581017
SSEN-251100402005,Boosting,MAE,4749.495956230972
SSEN-251100402001,Boosting,MAE,4098.668203168036
SSEN-281200238003,Boosting,MAE,6272.073725993127
SSEN-280300108003,Boosting,MAE,4173.79394899603
SSEN-252801203001,Boosting,MAE,4200.781543131663
SSEN-280300703502,Boosting,MAE,6009.383783360962
SSEN-281800907002,Boosting,MAE,4870.315765713304
SSEN-280700402004,Boosting,MAE,4820.100308684948
SSEN-281800116001,Boosting,MAE,7757.035926076266
SSEN-281200234001,Boosting,MAE,5199.905938618516
SSEN-281600509003,Boosting,MAE,4315.096076146987
SSEN-280700212004,Boosting,MAE,4257.3687454531
SSEN-280800715004,Boosting,MAE,5139.418308265586
SSEN-281200218002,Boosting,MAE,5020.596659664001
SSEN-280301810001,Boosting,MAE,5618.310879232512
SSEN-280800106002,Boosting,MAPE,6785269.304412001
SSEN-282201110004,Boosting,MAPE,97.63844468068255
SSEN-252900929002,Boosting,MAPE,76.76622843234045
SSEN-282201106004,Boosting,MAPE,24393878.305305757
SSEN-281800504002,Boosting,MAPE,9741100.52691679
SSEN-280700102002,Boosting,MAPE,90.3727568037881
SSEN-282201014004,Boosting,MAPE,69.47299027950164
SSEN-252901302002,Boosting,MAPE,65.860584030822
SSEN-282200916001,Boosting,MAPE,127.56273603267276
SSEN-280301014003,Boosting,MAPE,160.62291766279253
SSEN-252100814005,Boosting,MAPE,84.98546498944994
SSEN-252900102005,Boosting,MAPE,89.34801246352566
SSEN-281800617002,Boosting,MAPE,78.15299555655947
SSEN-280460404002,Boosting,MAPE,94.95209389794319
SSEN-281601008001,Boosting,MAPE,133.43875520390708
SSEN-251200212704,Boosting,MAPE,7135291.246416585
SSEN-251200212705,Boosting,MAPE,140.31190936693682
SSEN-281101326002,Boosting,MAPE,72.79218178203806
SSEN-280500608005,Boosting,MAPE,83.627177843597
SSEN-280961003404,Boosting,MAPE,71.3725878951961
SSEN-281600402003,Boosting,MAPE,83.84688854835044
SSEN-251100913003,Boosting,MAPE,203.79184891009007
SSEN-281800226002,Boosting,MAPE,94.34975534019519
SSEN-282201018004,Boosting,MAPE,65.88327868673612
SSEN-280301604303,Boosting,MAPE,70.02672443315558
SSEN-281600101001,Boosting,MAPE,70.29269185826269
SSEN-281800318002,Boosting,MAPE,89.39823527990616
SSEN-281200240005,Boosting,MAPE,75.73377637858172
SSEN-280300832002,Boosting,MAPE,82.38258322249395
SSEN-251100616001,Boosting,MAPE,79.43587884455707
SSEN-251201402003,Boosting,MAPE,73.10809133488699
SSEN-251201402005,Boosting,MAPE,82.66253374500371
SSEN-251201403002,Boosting,MAPE,76.60943608898904
SSEN-251201403001,Boosting,MAPE,96.3233148392835
SSEN-281601101004,Boosting,MAPE,66.91634404459506
SSEN-282202619001,Boosting,MAPE,122.16076721760321
SSEN-281600602005,Boosting,MAPE,2522058.2740017762
SSEN-280960804501,Boosting,MAPE,87.41858835589136
SSEN-251100912002,Boosting,MAPE,82.07530517778247
SSEN-281800118001,Boosting,MAPE,129.18993421380947
SSEN-281800724002,Boosting,MAPE,81.78982110465402
SSEN-251201301002,Boosting,MAPE,53172113.529049486
SSEN-251201301003,Boosting,MAPE,85.68048764598527
SSEN-280300632003,Boosting,MAPE,81.84680754294651
SSEN-280800717003,Boosting,MAPE,121.83723364878307
SSEN-282202615003,Boosting,MAPE,1306587.5161003931
SSEN-251201419002,Boosting,MAPE,15039671.260155939
SSEN-280300110001,Boosting,MAPE,75.88264957539226
SSEN-252800138002,Boosting,MAPE,78.91781324138533
SSEN-281101316001,Boosting,MAPE,156.77845686539538
SSEN-252900237002,Boosting,MAPE,70.88761669975045
SSEN-281300124002,Boosting,MAPE,67.27529922451193
SSEN-281601002002,Boosting,MAPE,238.37409520399967
SSEN-252600706002,Boosting,MAPE,77.55321637233129
SSEN-280301614005,Boosting,MAPE,225.72439662626905
SSEN-252901502005,Boosting,MAPE,75.82727528858796
SSEN-280800116002,Boosting,MAPE,67.65244779442301
SSEN-281801104003,Boosting,MAPE,21081178.187390897
SSEN-281801104004,Boosting,MAPE,70.72753036044111
SSEN-281600609002,Boosting,MAPE,88.5341251066465
SSEN-282200910003,Boosting,MAPE,81.32820188768154
SSEN-252100812001,Boosting,MAPE,74.9812454889177
SSEN-280960707202,Boosting,MAPE,94.44251594537901
SSEN-251101108001,Boosting,MAPE,66.90180551540608
SSEN-190900638005,Boosting,MAPE,149398342.09639776
SSEN-190900638002,Boosting,MAPE,69.4865385551085
SSEN-280700312003,Boosting,MAPE,81.49296829516382
SSEN-282200602003,Boosting,MAPE,68.0457204722821
SSEN-250460606005,Boosting,MAPE,115.25869746184271
SSEN-280700410002,Boosting,MAPE,69.49238502266938
SSEN-252900216004,Boosting,MAPE,70.30813281596268
SSEN-251200222001,Boosting,MAPE,90.97824056554093
SSEN-250802303005,Boosting,MAPE,76.67578321814462
SSEN-190900228501,Boosting,MAPE,92.32457539854931
SSEN-280300546005,Boosting,MAPE,76.43020600347533
SSEN-280300546001,Boosting,MAPE,116.92032116329187
SSEN-281800903004,Boosting,MAPE,74.38117917203542
SSEN-281800903003,Boosting,MAPE,69.0274749670524
SSEN-251101112005,Boosting,MAPE,62858499.42623025
SSEN-250101710505,Boosting,MAPE,854370.7101150545
SSEN-281200302003,Boosting,MAPE,87.76845113614135
SSEN-282000446003,Boosting,MAPE,95.94043788555767
SSEN-282000446001,Boosting,MAPE,69.67410852211744
SSEN-280500510004,Boosting,MAPE,1114739.781541109
SSEN-251100514004,Boosting,MAPE,108.33254978230107
SSEN-280300634002,Boosting,MAPE,65.42794782244017
SSEN-281800131002,Boosting,MAPE,86.29842983077155
SSEN-282201134003,Boosting,MAPE,66.23418582999633
SSEN-282200908001,Boosting,MAPE,125.30146127348823
SSEN-280300524004,Boosting,MAPE,67.68773623102331
SSEN-281200252003,Boosting,MAPE,120.6284127632826
SSEN-251200313001,Boosting,MAPE,119.10522845184816
SSEN-251100604004,Boosting,MAPE,107.1029892978633
SSEN-281600607002,Boosting,MAPE,93.18521720857564
SSEN-280300621003,Boosting,MAPE,69.19687861907656
SSEN-280960801510,Boosting,MAPE,83.64854904525598
SSEN-280960801502,Boosting,MAPE,74.5990591009985
SSEN-281800608505,Boosting,MAPE,64.81993798544995
SSEN-251200807005,Boosting,MAPE,69.78892042651734
SSEN-281101322002,Boosting,MAPE,106.83773001721933
SSEN-280700612001,Boosting,MAPE,65.39464092693757
SSEN-280700612004,Boosting,MAPE,65.38076285345629
SSEN-280700215001,Boosting,MAPE,6237.582224529187
SSEN-251200309003,Boosting,MAPE,93.9018898147077
SSEN-251200309001,Boosting,MAPE,75.80355338798276
SSEN-280300528005,Boosting,MAPE,68.13557913211822
SSEN-280460416005,Boosting,MAPE,35710925.8215845
SSEN-252900147005,Boosting,MAPE,84.0478703550013
SSEN-282201102005,Boosting,MAPE,69.65864008030428
SSEN-281101318001,Boosting,MAPE,102.90382791182166
SSEN-281101318003,Boosting,MAPE,79.15184608817474
SSEN-282202807003,Boosting,MAPE,75.67953200510242
SSEN-282202807006,Boosting,MAPE,121.49769476696433
SSEN-282202806002,Boosting,MAPE,69.90357344554491
SSEN-280300114003,Boosting,MAPE,76.92997286283641
SSEN-282201050005,Boosting,MAPE,73.22216998703655
SSEN-282201050004,Boosting,MAPE,69.29591583517343
SSEN-280301206005,Boosting,MAPE,81.21247867091185
SSEN-281800605501,Boosting,MAPE,65.80794575655653
SSEN-280300102005,Boosting,MAPE,69.57766751059518
SSEN-280302216002,Boosting,MAPE,177.6354095208853
SSEN-282201046004,Boosting,MAPE,11329311.735977104
SSEN-280700202001,Boosting,MAPE,67.67973209139807
SSEN-280960704205,Boosting,MAPE,66.77464712049556
SSEN-280700306001,Boosting,MAPE,92.37775350920617
SSEN-280700306004,Boosting,MAPE,71.08648157503387
SSEN-252600904001,Boosting,MAPE,3128600.582442835
SSEN-280800226004,Boosting,MAPE,236.04143558059695
SSEN-280800226005,Boosting,MAPE,84.58771470031878
SSEN-280500416001,Boosting,MAPE,82.10121130174619
SSEN-251200810004,Boosting,MAPE,131.09387873867175
SSEN-252901720002,Boosting,MAPE,17066935.999040224
SSEN-190900636006,Boosting,MAPE,149.93188428668643
SSEN-281600606002,Boosting,MAPE,120.4506410617365
SSEN-250101616503,Boosting,MAPE,148.58952985962864
SSEN-281601113004,Boosting,MAPE,95.38235748233755
SSEN-281300602007,Boosting,MAPE,74.12344231841766
SSEN-281800212004,Boosting,MAPE,49096017.405396715
SSEN-281101324001,Boosting,MAPE,187.5293133502049
SSEN-280800702001,Boosting,MAPE,69.12591152284953
SSEN-250100810202,Boosting,MAPE,77.74931457653426
SSEN-252900116001,Boosting,MAPE,68.34072106772993
SSEN-282201016004,Boosting,MAPE,68.67683211937245
SSEN-281800910005,Boosting,MAPE,115.51623120837273
SSEN-282200938002,Boosting,MAPE,162.18069381131787
SSEN-280300410004,Boosting,MAPE,73.94359860500444
SSEN-280300806001,Boosting,MAPE,123.15729947375695
SSEN-280800129504,Boosting,MAPE,66.16684987687708
SSEN-281300120003,Boosting,MAPE,68.03787043089605
SSEN-282200918005,Boosting,MAPE,73.60466945931512
SSEN-252901530001,Boosting,MAPE,72.28909129763825
SSEN-281600601003,Boosting,MAPE,66.75187242886706
SSEN-280300627001,Boosting,MAPE,86.10407068702153
SSEN-281200501003,Boosting,MAPE,70.22398137404085
SSEN-252900931003,Boosting,MAPE,66.19312438240831
SSEN-280800108001,Boosting,MAPE,119.94964305093731
SSEN-251100402005,Boosting,MAPE,174.06937107187653
SSEN-281200238003,Boosting,MAPE,125.2788174184199
SSEN-280960201003,Boosting,MAPE,85.93721229491668
SSEN-281600801004,Boosting,MAPE,218.67261581539017
SSEN-281600801003,Boosting,MAPE,86.42357393907128
SSEN-281600801001,Boosting,MAPE,140.4043808751619
SSEN-280300132004,Boosting,MAPE,71.94339204842251
SSEN-280700402004,Boosting,MAPE,79.10053026084131
SSEN-281800116001,Boosting,MAPE,70.79147923485284
SSEN-280300112003,Boosting,MAPE,67.39740522349773
SSEN-280300104003,Boosting,MAPE,71.03299348889189
SSEN-281800710002,Boosting,MAPE,72.64614258787822
SSEN-251100208004,Boosting,MAPE,195.03934063251077
SSEN-251100208001,Boosting,MAPE,79.05464921533407
SSEN-280700204004,Boosting,MAPE,77.41074487358675
SSEN-282202617002,Boosting,MAPE,70.22243224043535
SSEN-280301810002,Boosting,MAPE,83.22192552998459
SSEN-280800106002,Boosting,R2,-42367853318.084175
SSEN-282201110004,Boosting,R2,-1.809354403178344
SSEN-282201106004,Boosting,R2,-411613077824.2361
SSEN-281800912003,Boosting,R2,-1.8575920850989092
SSEN-281800504002,Boosting,R2,-116951907981.90437
SSEN-280700102002,Boosting,R2,-5.252248773700339
SSEN-280700342003,Boosting,R2,-1.161667376276918
SSEN-282200916001,Boosting,R2,-2.4364884567988647
SSEN-280301014003,Boosting,R2,-12.167137416543168
SSEN-252100814005,Boosting,R2,-3.8657255958012176
SSEN-281800617002,Boosting,R2,-3.7783030777557585
SSEN-281601008001,Boosting,R2,-7.015299796052032
SSEN-251200212704,Boosting,R2,-45808269865.4998
SSEN-251200212705,Boosting,R2,-6.375312649319319
SSEN-280500608003,Boosting,R2,-1.9227320685346942
SSEN-280500608005,Boosting,R2,-3.0291832393924905
SSEN-252901528003,Boosting,R2,-1.160386096669948
SSEN-281600402003,Boosting,R2,-1.240030152260652
SSEN-251100913003,Boosting,R2,-1.4150237920530055
SSEN-281600101001,Boosting,R2,-1.2079177838558146
SSEN-280300832002,Boosting,R2,-1.2599328811064225
SSEN-251101114005,Boosting,R2,-2.030958545426436
SSEN-282202619001,Boosting,R2,-8.943056164330965
SSEN-281600602005,Boosting,R2,-11667214559.152676
SSEN-281600602004,Boosting,R2,-1.3685018871744412
SSEN-281800118001,Boosting,R2,-8.262090266293178
SSEN-280301218001,Boosting,R2,-1.1836324508525653
SSEN-281800724002,Boosting,R2,-1.5928408421762419
SSEN-251201301002,Boosting,R2,-482732821375.83325
SSEN-280300632003,Boosting,R2,-4.121955136677786
SSEN-280800717003,Boosting,R2,-1.9703271887406775
SSEN-282202615003,Boosting,R2,-865798011.306042
SSEN-280700206001,Boosting,R2,-1.4122867301443116
SSEN-251201419002,Boosting,R2,-141496528677.68216
SSEN-280302212003,Boosting,R2,-1.4079027090556124
SSEN-281101316001,Boosting,R2,-2.796256246407286
SSEN-252900237002,Boosting,R2,-3.7325851029535047
SSEN-281601002002,Boosting,R2,-10.06390413405147
SSEN-280301614005,Boosting,R2,-11.995891693827076
SSEN-251100919005,Boosting,R2,-1.3074805871526491
SSEN-281800502003,Boosting,R2,-2.5192054267650774
SSEN-280301602005,Boosting,R2,-1.4545364413368294
SSEN-281801104003,Boosting,R2,-233645009839.99136
SSEN-281600609002,Boosting,R2,-2.149110930847491
SSEN-282202612001,Boosting,R2,-1.369807488072536
SSEN-252100812001,Boosting,R2,-1.7212258650853829
SSEN-280960707202,Boosting,R2,-2.487210169435043
SSEN-281800702003,Boosting,R2,-1.3797751929902864
SSEN-281800702004,Boosting,R2,-1.7478292165807603
SSEN-251101108001,Boosting,R2,-2.1100907600223615
SSEN-190900638005,Boosting,R2,-6357103423785.464
SSEN-250460606005,Boosting,R2,-8.677643671959002
SSEN-280700410002,Boosting,R2,-1.6298059269470935
SSEN-280300546005,Boosting,R2,-1.954898778630425
SSEN-280300546001,Boosting,R2,-6.485897724672759
SSEN-280700406002,Boosting,R2,-1.1966029131523928
SSEN-281800903004,Boosting,R2,-1.230957200211674
SSEN-280700308002,Boosting,R2,-1.6745296324329568
SSEN-251101112005,Boosting,R2,-2833725010397.856
SSEN-281101116002,Boosting,R2,-1.2010578741861608
SSEN-250101710505,Boosting,R2,-3197184238.710596
SSEN-282000446003,Boosting,R2,-5.405281102768871
SSEN-250101614505,Boosting,R2,-1.20126100548989
SSEN-280500510004,Boosting,R2,-1260203152.8372607
SSEN-282201048001,Boosting,R2,-1.8148724319299396
SSEN-251100514004,Boosting,R2,-1.2146337916710035
SSEN-281800131002,Boosting,R2,-1.4594355189947215
SSEN-282201026001,Boosting,R2,-2.564814582989216
SSEN-281200252003,Boosting,R2,-8.466282526256414
SSEN-251200313001,Boosting,R2,-2.698216357232393
SSEN-251100604004,Boosting,R2,-3.510551920316116
SSEN-281600607002,Boosting,R2,-1.6159414016194438
SSEN-251200807001,Boosting,R2,-2.011697862745406
SSEN-281101322002,Boosting,R2,-2.1857152738955543
SSEN-280700612004,Boosting,R2,-1.5943484234491803
SSEN-280800712002,Boosting,R2,-2.499185590244897
SSEN-282202606001,Boosting,R2,-1.697719383422473
SSEN-280700215001,Boosting,R2,-16883.352033808853
SSEN-282200512003,Boosting,R2,-1.4856905418537183
SSEN-251200309003,Boosting,R2,-4.723949643196273
SSEN-251200309001,Boosting,R2,-1.8625839730880451
SSEN-250101709501,Boosting,R2,-1.4709000895119142
SSEN-280460416005,Boosting,R2,-1234849855539.9717
SSEN-251101019002,Boosting,R2,-2.3266686158637264
SSEN-282201102005,Boosting,R2,-2.955939310850502
SSEN-281101318001,Boosting,R2,-2.8363175801981533
SSEN-281800604504,Boosting,R2,-1.3182780859302854
SSEN-282202807006,Boosting,R2,-4.175393994865996
SSEN-281300150002,Boosting,R2,-1.320931744854164
SSEN-282202806002,Boosting,R2,-1.685305621483725
SSEN-282202806001,Boosting,R2,-1.1634313482439107
SSEN-280302216002,Boosting,R2,-6.551404186218397
SSEN-282201046004,Boosting,R2,-114992639767.68198
SSEN-280700202001,Boosting,R2,-1.2743854354030075
SSEN-281101118002,Boosting,R2,-1.1653456269513787
SSEN-252600904001,Boosting,R2,-30726963731.738594
SSEN-280800226004,Boosting,R2,-3.7605995520395608
SSEN-280800226001,Boosting,R2,-1.706571651087669
SSEN-251200810004,Boosting,R2,-1.4944982308070829
SSEN-280300548002,Boosting,R2,-1.4865182467340512
SSEN-252901720002,Boosting,R2,-168608113726.78256
SSEN-190900636006,Boosting,R2,-1.7651715805766828
SSEN-281600606002,Boosting,R2,-2.7429422114745976
SSEN-250101616501,Boosting,R2,-1.1709250403528255
SSEN-250101616503,Boosting,R2,-3.3107627838690776
SSEN-251200312001,Boosting,R2,-3.1008413499351954
SSEN-281601113004,Boosting,R2,-2.2139092614877955
SSEN-282200548002,Boosting,R2,-5.3481945448244
SSEN-281800212004,Boosting,R2,-2065829026851.487
SSEN-281101324001,Boosting,R2,-19.35991216301438
SSEN-250100810202,Boosting,R2,-2.703735606854357
SSEN-250100810201,Boosting,R2,-1.6655928200394516
SSEN-282201016001,Boosting,R2,-1.2236067789267482
SSEN-282200938002,Boosting,R2,-13.178791696035356
